KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO
"CS","CISMC",44,"500054","Praha 1","Praha 1","01.03.2001","09.09.9999"
"CS","CISMC",44,"500089","Praha 2","Praha 2","01.03.2001","09.09.9999"
"CS","CISMC",44,"500097","Praha 3","Praha 3","01.03.2001","09.09.9999"
"CS","CISMC",44,"500119","Praha 4","Praha 4","01.03.2001","09.09.9999"
"CS","CISMC",44,"500143","Praha 5","Praha 5","01.03.2001","09.09.9999"
"CS","CISMC",44,"500178","Praha 6","Praha 6","01.03.2001","09.09.9999"
"CS","CISMC",44,"500186","Praha 7","Praha 7","01.03.2001","09.09.9999"
"CS","CISMC",44,"500208","Praha 8","Praha 8","01.03.2001","09.09.9999"
"CS","CISMC",44,"500216","Praha 9","Praha 9","01.03.2001","09.09.9999"
"CS","CISMC",44,"500224","Praha 10","Praha 10","01.03.2001","09.09.9999"
"CS","CISMC",44,"501298","⁄stÌ n.L.-SevernÌ Teras","⁄stÌ nad Labem-SevernÌ Terasa","02.03.2001","09.09.9999"
"CS","CISMC",44,"502081","⁄stÌ n.L.-NeötÏmice","⁄stÌ nad Labem-NeötÏmice","01.03.2001","09.09.9999"
"CS","CISMC",44,"502316","⁄stÌ n.L.-St¯ekov","⁄stÌ nad Labem-St¯ekov","01.03.2001","09.09.9999"
"CS","CISMC",44,"538060","Praha-BÏchovice","Praha-BÏchovice","01.03.2001","09.09.9999"
"CS","CISMC",44,"538078","Praha-Benice","Praha-Benice","01.03.2001","09.09.9999"
"CS","CISMC",44,"538124","Praha-B¯ezinÏves","Praha-B¯ezinÏves","01.03.2001","09.09.9999"
"CS","CISMC",44,"538175","Praha-DolnÌ PoËernice","Praha-DolnÌ PoËernice","01.03.2001","09.09.9999"
"CS","CISMC",44,"538205","Praha-DubeË","Praha-DubeË","01.03.2001","09.09.9999"
"CS","CISMC",44,"538213","Praha 20","Praha 20","01.03.2001","09.09.9999"
"CS","CISMC",44,"538302","Praha-Kl·novice","Praha-Kl·novice","01.03.2001","09.09.9999"
"CS","CISMC",44,"538353","Praha-KolodÏje","Praha-KolodÏje","01.03.2001","09.09.9999"
"CS","CISMC",44,"538361","Praha-Kolovraty","Praha-Kolovraty","01.03.2001","09.09.9999"
"CS","CISMC",44,"538388","Praha-Kr·lovice","Praha-Kr·lovice","01.03.2001","09.09.9999"
"CS","CISMC",44,"538400","Praha-K¯eslice","Praha-K¯eslice","01.03.2001","09.09.9999"
"CS","CISMC",44,"538531","Praha-NedvÏzÌ","Praha-NedvÏzÌ","01.03.2001","09.09.9999"
"CS","CISMC",44,"538736","Praha-Satalice","Praha-Satalice","01.03.2001","09.09.9999"
"CS","CISMC",44,"538931","Praha 22","Praha 22","01.03.2001","09.09.9999"
"CS","CISMC",44,"538949","Praha 21","Praha 21","01.03.2001","09.09.9999"
"CS","CISMC",44,"539007","Praha-Vino¯","Praha-Vino¯","01.03.2001","09.09.9999"
"CS","CISMC",44,"539449","Praha-Lipence","Praha-Lipence","01.03.2001","09.09.9999"
"CS","CISMC",44,"539465","Praha-Lochkov","Praha-Lochkov","01.03.2001","09.09.9999"
"CS","CISMC",44,"539589","Praha-P¯ednÌ Kopanina","Praha-P¯ednÌ Kopanina","01.03.2001","09.09.9999"
"CS","CISMC",44,"539601","Praha 16","Praha 16","01.03.2001","09.09.9999"
"CS","CISMC",44,"539635","Praha-ÿeporyje","Praha-ÿeporyje","01.03.2001","09.09.9999"
"CS","CISMC",44,"539678","Praha-Slivenec","Praha-Slivenec","01.03.2001","09.09.9999"
"CS","CISMC",44,"539694","Praha 13","Praha 13","01.03.2001","09.09.9999"
"CS","CISMC",44,"539724","Praha-äeberov","Praha-äeberov","01.03.2001","09.09.9999"
"CS","CISMC",44,"539791","Praha-⁄jezd","Praha-⁄jezd","01.03.2001","09.09.9999"
"CS","CISMC",44,"539864","Praha-Zbraslav","Praha-Zbraslav","01.03.2001","09.09.9999"
"CS","CISMC",44,"539899","Praha-ZliËÌn","Praha-ZliËÌn","01.03.2001","09.09.9999"
"CS","CISMC",44,"545911","Morav.Ostrava a P¯Ìvoz","Moravsk· Ostrava a P¯Ìvoz","01.03.2001","09.09.9999"
"CS","CISMC",44,"545970","PlzeÚ 1","PlzeÚ 1","01.03.2001","09.09.9999"
"CS","CISMC",44,"545988","PlzeÚ 2-Slovany","PlzeÚ 2-Slovany","01.03.2001","09.09.9999"
"CS","CISMC",44,"546003","PlzeÚ 3","PlzeÚ 3","01.03.2001","09.09.9999"
"CS","CISMC",44,"546046","Slezsk· Ostrava","Slezsk· Ostrava","01.03.2001","09.09.9999"
"CS","CISMC",44,"546135","Ostrava-Jih","Ostrava-Jih","01.03.2001","09.09.9999"
"CS","CISMC",44,"546208","PlzeÚ 4","PlzeÚ 4","01.03.2001","09.09.9999"
"CS","CISMC",44,"546224","Poruba","Poruba","01.03.2001","09.09.9999"
"CS","CISMC",44,"547034","Praha 11","Praha 11","01.03.2001","09.09.9999"
"CS","CISMC",44,"547042","Praha-Kunratice","Praha-Kunratice","01.03.2001","09.09.9999"
"CS","CISMC",44,"547051","Praha-Libuö","Praha-Libuö","01.03.2001","09.09.9999"
"CS","CISMC",44,"547107","Praha 12","Praha 12","01.03.2001","09.09.9999"
"CS","CISMC",44,"547115","Praha-Velk· Chuchle","Praha-Velk· Chuchle","01.03.2001","09.09.9999"
"CS","CISMC",44,"547140","Praha-Lysolaje","Praha-Lysolaje","01.03.2001","09.09.9999"
"CS","CISMC",44,"547158","Praha-Nebuöice","Praha-Nebuöice","01.03.2001","09.09.9999"
"CS","CISMC",44,"547174","Praha 17","Praha 17","01.03.2001","09.09.9999"
"CS","CISMC",44,"547271","Praha-Suchdol","Praha-Suchdol","01.03.2001","09.09.9999"
"CS","CISMC",44,"547298","Praha-œ·blice","Praha-œ·blice","01.03.2001","09.09.9999"
"CS","CISMC",44,"547301","Praha-DolnÌ Chabry","Praha-DolnÌ Chabry","01.03.2001","09.09.9999"
"CS","CISMC",44,"547310","Praha-»akovice","Praha-»akovice","01.03.2001","09.09.9999"
"CS","CISMC",44,"547328","Praha-Troja","Praha-Troja","01.03.2001","09.09.9999"
"CS","CISMC",44,"547344","Praha 19","Praha 19","01.03.2001","09.09.9999"
"CS","CISMC",44,"547361","Praha 14","Praha 14","01.03.2001","09.09.9999"
"CS","CISMC",44,"547379","Praha-Dol. MÏcholupy","Praha-DolnÌ MÏcholupy","01.03.2001","09.09.9999"
