KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Hierarchie èíselníkù","CISOB",43,"500011","elechovice nad Døevnicí","SENOB",1057,"78","Volební obvod è. 78, sídlo: Zlín"
"CS","Hierarchie èíselníkù","CISOB",43,"500020","Petrov nad Desnou","SENOB",1057,"65","Volební obvod è. 65, sídlo: Šumperk"
"CS","Hierarchie èíselníkù","CISOB",43,"500046","Libhoš","SENOB",1057,"67","Volební obvod è. 67, sídlo: Novı Jièín"
"CS","Hierarchie èíselníkù","CISOB",43,"500062","Krhová","SENOB",1057,"77","Volební obvod è. 77, sídlo: Vsetín"
"CS","Hierarchie èíselníkù","CISOB",43,"500071","Polièná","SENOB",1057,"77","Volební obvod è. 77, sídlo: Vsetín"
"CS","Hierarchie èíselníkù","CISOB",43,"500101","Braec","SENOB",1057,"01","Volební obvod è. 1, sídlo: Karlovy Vary"
"CS","Hierarchie èíselníkù","CISOB",43,"500127","Doupovské Hradištì","SENOB",1057,"01","Volební obvod è. 1, sídlo: Karlovy Vary"
"CS","Hierarchie èíselníkù","CISOB",43,"500135","Kozlov","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500151","Lubomìø pod Stránou","SENOB",1057,"63","Volební obvod è. 63, sídlo: Pøerov"
"CS","Hierarchie èíselníkù","CISOB",43,"500160","Mìsto Libavá","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500194","Polná na Šumavì","SENOB",1057,"10","Volební obvod è. 10, sídlo: Èeskı Krumlov"
"CS","Hierarchie èíselníkù","CISOB",43,"500259","Veøovice","SENOB",1057,"67","Volební obvod è. 67, sídlo: Novı Jièín"
"CS","Hierarchie èíselníkù","CISOB",43,"500291","Vøesina","SENOB",1057,"67","Volební obvod è. 67, sídlo: Novı Jièín"
"CS","Hierarchie èíselníkù","CISOB",43,"500496","Olomouc","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500526","Bìlkovice-Lašany","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500623","Bílá Lhota","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500801","Blatec","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500852","Bohuòovice","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500861","Bouzov","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"500879","Bystroèice","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"501476","Dlouhá Louèka","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"501646","Dolany","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"501751","Drahanovice","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"501794","Dub nad Moravou","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"501841","Grygov","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"502146","Hluboèky","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"502235","Hnìvotín","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"502405","Hnojice","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"502545","Horka nad Moravou","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"502839","Cholina","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"503142","Jívová","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"503304","Koušany-Táaly","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"503410","itovlice","SENOB",1057,"37","Volební obvod è. 37, sídlo: Jièín"
"CS","Hierarchie èíselníkù","CISOB",43,"503444","Litovel","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"503622","Luká","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"503657","Lutín","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"503738","Majetín","SENOB",1057,"61","Volební obvod è. 61, sídlo: Olomouc"
"CS","Hierarchie èíselníkù","CISOB",43,"503916","Kostelec","SENOB",1057,"03","Volební obvod è. 3, sídlo: Cheb"
"CS","Hierarchie èíselníkù","CISOB",43,"504246","Mladeè","SENOB",1057,"66","Volební obvod è. 66, sídlo: Olomouc"
