"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Editační vazba","CISMC",44,"500054","Praha 1","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500089","Praha 2","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500097","Praha 3","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500119","Praha 4","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500143","Praha 5","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500178","Praha 6","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500186","Praha 7","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500208","Praha 8","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500216","Praha 9","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"500224","Praha 10","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"501298","Ústí nad Labem-Severní Terasa","CISOB",43,"554804","Ústí nad Labem"
"CS","Editační vazba","CISMC",44,"502081","Ústí nad Labem-Neštěmice","CISOB",43,"554804","Ústí nad Labem"
"CS","Editační vazba","CISMC",44,"502316","Ústí nad Labem-Střekov","CISOB",43,"554804","Ústí nad Labem"
"CS","Editační vazba","CISMC",44,"538060","Praha-Běchovice","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538078","Praha-Benice","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538124","Praha-Březiněves","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538175","Praha-Dolní Počernice","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538205","Praha-Dubeč","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538213","Praha 20","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538302","Praha-Klánovice","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538353","Praha-Koloděje","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538361","Praha-Kolovraty","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538388","Praha-Královice","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538400","Praha-Křeslice","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538531","Praha-Nedvězí","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538736","Praha-Satalice","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538931","Praha 22","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"538949","Praha 21","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539007","Praha-Vinoř","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539449","Praha-Lipence","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539465","Praha-Lochkov","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539589","Praha-Přední Kopanina","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539601","Praha 16","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539635","Praha-Řeporyje","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539678","Praha-Slivenec","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539694","Praha 13","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539724","Praha-Šeberov","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539791","Praha-Újezd","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539864","Praha-Zbraslav","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"539899","Praha-Zličín","CISOB",43,"554782","Praha"
"CS","Editační vazba","CISMC",44,"545911","Moravská Ostrava a Přívoz","CISOB",43,"554821","Ostrava"
